sample_code,variety,brix,pol,R,S,T,U,V,W,predicted_brix,predicted_pol,brix_percent_error,pol_percent_error
AB1,105,18.86,17.69,1385.51,339.31,193.41,119.0,82.75,43.06,16.212394782207067,13.467507607856334,14.038203699856483,23.869374743604677
AB2,105,14.96,11.59,1157.0,274.26,162.42,99.36,69.18,35.89,16.283916138579134,13.617082511171054,8.849706808684042,17.489926757299862
AB3,105,16.56,14.59,2377.54,532.26,326.98,210.61,148.39,74.4,16.886862117100385,14.765927860425498,1.9738050549540247,1.205811243492102
AT1,105,17.9,16.08,1648.66,431.23,282.32,172.27,109.48,52.63,14.742821982234306,11.320054330959902,17.637866021037393,29.60165217064737
AT2,105,15.97,12.46,1925.43,534.22,314.8,198.9,129.72,64.59,14.088213490142433,10.415581822269282,11.78325929779316,16.407850543585226
AT3,105,13.47,9.74,4169.09,1130.44,584.72,389.12,268.09,132.78,13.784557737242896,10.152845548159789,2.33524675013285,4.238660658724728
BB1,105,16.37,14.44,4610.56,1096.62,633.67,421.23,293.84,145.7,16.242872171622437,14.150231585626571,0.7765902771995336,2.0067064707301143
BB2,105,16.57,14.4,3214.96,744.74,464.19,309.21,211.68,105.27,15.767312678442835,13.511833117007061,4.844220407707697,6.1678255763398555
BB3,105,15.87,14.32,6281.03,1433.75,853.79,577.06,400.56,195.7,16.991003850400762,15.835812719132392,7.063666354132094,10.585284351483178
BT1,105,13.87,9.2,3456.29,974.99,474.02,312.8,218.56,110.05,14.00054212514879,10.211336850851524,0.9411833103734033,10.992791857081787
BT2,105,18.5,16.87,963.12,249.33,173.11,106.72,66.83,33.49,14.94758033084365,11.768150121958636,19.202268481926218,30.24214509805196
BT3,105,12.57,8.56,1927.34,499.09,299.2,191.35,127.76,63.4,14.8789129008929,11.696833002229111,18.36843994345982,36.645245353143814
CT1,105,14.57,12.65,1302.34,277.73,217.35,134.68,87.07,43.06,15.909840698919565,13.311011484585805,9.195886746187815,5.22538722992731
CT2,105,15.57,13.98,1395.88,296.81,223.76,138.65,90.81,45.46,16.15025526693716,13.639128851481487,3.7267518749978255,2.438277171090937
CT3,105,16.47,15.49,904.5,184.07,176.31,106.72,64.86,31.1,15.530824519745126,12.759274487296896,5.702340499422422,17.62895747387414
CB1,105,14.01,10.14,3212.51,804.14,549.89,366.26,231.93,112.44,12.573404600308722,9.065096170982862,10.254071375383853,10.60062947748657
CB2,105,13.71,9.32,1463.23,313.29,265.86,169.06,105.15,50.72,15.143610542050789,12.40872445038325,10.456677914301881,33.14082028308208
CB3,105,14.2,8.75,904.77,227.65,181.44,111.45,66.83,32.3,14.671014035502854,11.434707144447014,3.3170002500201003,30.682367365108732
DT1,84-524,8.4,3.03,1600.12,465.27,297.71,194.18,118.91,58.61,12.8019501077685,8.817709010856106,52.40416794962499,191.01349870812234
DT2,84-524,8.8,4.72,4146.45,1257.71,684.1,471.85,299.74,146.89,8.101445142754649,2.4457110557344244,7.938123377788086,48.18408780223677
DT3,84-524,8.7,3.03,1995.51,614.65,390.03,260.67,156.26,75.36,10.714304409061107,5.977307373639628,23.1529242420817,97.27087041714945
DB1,84-524,13.1,7.82,1387.97,370.74,272.49,176.05,106.53,51.68,13.419280222260141,9.81469348760925,2.437253605039251,25.507589355617018
DB2,84-524,13.0,7.45,1672.65,363.8,259.66,159.61,106.14,52.63,16.386490916242025,13.904242983407356,26.04993012493865,86.63413400546786
DB3,84-524,12.8,12.26,2096.4,475.46,359.47,231.2,147.02,70.58,14.869436251087068,12.061984251026892,16.167470711617714,1.615136614788804
ET1,2289,15.21,12.95,1228.99,272.96,205.81,126.56,82.55,40.67,15.786369743104935,13.066910300878126,3.7894131696576836,0.9027822461631406
ET2,2289,15.91,13.29,2673.13,618.99,458.85,309.03,196.35,95.7,13.632064588339041,10.765139130711255,14.31763300855411,18.998200671849094
ET3,2289,16.32,13.88,1125.64,243.91,194.91,121.65,77.64,38.28,15.61361139697538,12.906071290810877,4.32836153814106,7.016777443725679
EB1,2289,16.32,13.51,2740.76,643.7,415.89,264.07,176.89,87.32,15.83207220417802,13.182073246990502,2.9897536508699747,2.4272890674278167
EB2,2289,16.62,14.2,3469.1,804.58,545.19,354.93,232.91,112.44,15.03065385584837,12.41253152470755,9.562852852897894,12.587806164031335
EB3,2289,17.12,14.86,945.95,218.33,171.61,105.97,65.84,32.3,15.306381194059012,12.384486676803803,10.593567791711381,16.658905270499304
