sample_code,variety,brix,pol,R,S,T,U,V,W
AB1,105,18.86,17.69,1245,1150,1050,920,850,750
AB2,105,14.96,11.59,1080,980,890,780,680,590
AB3,105,16.56,14.59,1190,1100,980,850,760,680
AT1,105,17.9,16.08,1230,1140,1030,910,840,740
AT2,105,15.97,12.46,1150,1050,950,830,720,630
AT3,105,13.47,9.74,1020,920,850,750,650,560
BB1,105,16.37,14.44,1180,1090,970,840,750,670
BB2,105,16.57,14.4,1190,1100,980,850,760,680
BB3,105,15.87,14.32,1140,1040,940,820,710,620
BT1,105,13.87,9.2,1050,950,870,760,660,580
BT2,105,18.5,16.87,1250,1160,1060,930,860,760
BT3,105,12.57,8.56,1010,910,830,740,640,550
CT1,105,14.57,12.65,1070,970,880,770,670,600
CT2,105,15.57,13.98,1130,1030,930,810,700,610
CT3,105,16.47,15.49,1180,1090,970,840,750,670
CB1,105,14.01,10.14,1040,940,860,750,650,570
CB2,105,13.71,9.32,1030,930,850,740,640,560
CB3,105,14.2,8.75,1060,960,870,760,660,590
DT1,84-524,8.4,3.03,1100,1000,900,800,700,600
DT2,84-524,8.8,4.72,1110,1010,910,810,710,610
DT3,84-524,8.7,3.03,1105,1005,905,805,705,605
DB1,84-524,13.1,7.82,1020,920,850,750,650,560
DB2,84-524,13.0,7.45,1015,915,845,745,645,555
DB3,84-524,12.8,12.26,1025,925,855,755,655,565
ET1,2289,15.21,12.95,1120,1020,920,820,720,620
ET2,2289,15.91,13.29,1150,1050,950,830,720,630
ET3,2289,16.32,13.88,1180,1090,970,840,750,670
EB1,2289,16.32,13.51,1185,1095,975,845,755,675
EB2,2289,16.62,14.2,1200,1110,990,860,770,690
EB3,2289,17.12,14.86,1220,1130,1010,890,820,720
